first_point_x,first_point_y
181251.451,435518.339
97133.0,434490.0
226645.8994,521025.053
180851.6185,527114.0992
107252.913,406630.766
276770.816,578230.023
170649.597,560967.759
180734.887,522764.232
115246.424,426079.38
62243.649,427079.122
146377.878,457858.46
119846.222,492614.767
115219.486,481925.052
133304.68,453085.61
232822.02,508244.427
134160.806,452771.192
158339.7381,576319.5901
82698.3,431998.01
146683.576,457737.181
177523.468,540654.718
104721.013,472450.551
178324.85,316015.565
254574.8183,593438.1601
55350.1641,407808.7214
192847.791,452013.788
119774.926,410696.024
157492.072,465623.485
88125.114,440877.772
125130.346,429470.621
254637.398,576865.956
192116.24,405782.956
232955.475,507995.748
156492.5,391128.764
158883.919,464472.434
206028.681,380697.914
198730.9907,441455.9303
176869.511,429341.3
196077.8049,443503.1513
148458.5962,408136.0196
156937.612,463548.611
185849.996,562064.812
136893.0863,451947.4234
140325.114,394190.85
159870.665,389627.128
198981.7306,500681.5745
86999.686,454351.369
133495.382,454631.034
162967.077,379446.385
157866.522,382277.887
157165.323,466023.787
139147.5654,461039.3121
96443.5062,436686.7855
91512.382,393428.788
85209.4148,436132.9401
210134.198,518165.936
183009.368,333847.805
159504.345,379623.154
111813.8101,483908.326
133427.941,453973.347
110574.702,478736.418
194911.092,444232.441
98399.968,432858.514
122698.827,492422.65
121707.066,500839.577
248149.0,476203.0
92141.926,430752.872
178645.776,521573.736
183012.109,448275.22
88872.459,394239.673
243739.0,481508.0
198859.897,316278.379
232930.648,508049.73
180966.637,526006.058
167210.1371,464603.5462
86969.661,432196.731
124849.8641,428570.3854
157751.683,465383.533
191826.115,448344.945
193802.3252,457108.4919
138850.883,452130.281
157585.345,464890.575
184082.197,448479.944
200747.335,501934.494
149295.6649,470178.578
141761.795,468192.1042
178334.439,316411.46
133353.201,453015.163
251311.04,600753.647
118485.654,490574.494
145229.509,472185.48
134584.301,452900.805
105333.051,498837.045
137578.385,448588.683
240925.0201,482618.7255
84850.432,436701.38
238343.708,580314.307
251557.419,562560.218
133942.8123,444925.81
130003.508,459548.388
124816.29,428297.381
117635.122,396606.552
110451.998,455796.7
84776.841,451979.981
125015.526,478504.367
105940.134,429303.084
194328.583,320582.973
114977.802,426239.36
126164.634,485094.283
85883.858,453457.485
189260.0,553526.0
144051.247,472331.695
109551.112,477254.903
80829.46,390614.91
174399.537,517100.676
220874.255,577767.995
126657.9087,480106.2549
120306.144,544469.847
70265.113,431035.974
178259.251,319229.347
153604.642,412886.591
124866.706,428713.426
93082.0,425865.0
198068.5808,500226.8219
152329.969,410705.076
143667.647,472705.549
163230.969,563605.914
192679.0715,447363.7865
137371.373,396746.158
231282.053,526029.447
106131.9567,429253.8859
126161.524,474918.825
124609.1684,478568.2448
65491.79,429670.632
108744.955,402127.213
198580.796,499659.507
180604.025,434864.677
216447.247,489132.628
138821.177,479820.287
227754.375,526909.381
155765.8452,460657.0971
184625.913,448101.65
92677.8404,439629.3324
205988.627,378483.186
131430.0,394381.0
197847.09,500484.137
70301.626,431046.821
111391.0,407757.0
202160.907,503394.576
227804.368,526397.8636
124729.084,428053.811
124972.0,428824.0
84253.6059,451445.5049
191772.0,553309.0
174505.491,517584.591
120224.038,492846.487
146375.072,457607.535
236916.83,582584.371
124038.713,428238.91
251027.703,601353.836
150509.0,375780.0
195605.228,497582.491
108765.856,488276.464
247418.833,478430.233
150069.33,389348.304
109220.042,488842.162
102703.0,425471.0
65525.441,429688.74
127158.71,546774.921
157878.257,465189.55
122638.865,482890.903
127125.615,546756.802
254634.583,593216.556
199035.868,497158.094
155042.155,388315.9445
132788.945,453246.199
158227.487,465895.85
125112.648,483506.191
198274.059,499980.993
189641.318,353022.333
157874.892,465340.916
124990.92,429060.066
120653.55,493164.238
170846.894,449566.594
191664.532,553232.266
127934.7765,480842.4579
47235.0,368480.0
179193.889,320151.972
126586.775,486238.164
197806.174,499650.119
124965.854,428685.171
206312.317,375528.845
158006.47,379914.313
164646.098,563318.774
180299.654,531522.547
125499.456,428755.547
160637.538,392032.717
131004.024,482629.244
128559.7878,428433.0909
178168.821,436347.167
187994.297,434369.73
133816.224,452943.276
84393.42,432433.198
158040.337,465649.144
98285.0,441207.0
131310.909,482439.611
124495.629,427246.3
151902.079,414157.801
133076.041,453379.021
138430.205,479870.825
124799.7951,479109.2161
124478.547,428525.089
125008.6959,479167.7472
180324.787,429034.351
157739.442,382370.855
226445.46,532429.455
83866.015,391410.272
210131.222,378729.79
195660.0,443743.0
117929.2522,487454.7612
145495.977,427432.926
126952.532,434756.775
161505.343,379528.172
134186.1813,452716.8858
126871.086,486578.501
150304.551,430541.221
155882.7574,467365.3184
188407.584,435441.535
77322.68,433921.845
251352.8331,600535.9857
59997.034,425078.272
51497.689,423807.546
159277.389,566735.775
114018.0,394591.0
88962.177,394496.004
149533.154,406373.154
90217.684,463367.9493
138068.287,451712.125
204003.77,504387.251
138212.609,451088.321
185622.66,562825.693
98179.72,464315.165
146509.114,457408.528
30557.945,386830.801
182271.664,573444.256
169274.555,455839.516
60065.946,425081.552
120350.206,544474.053
124167.631,479285.92
178170.988,317128.213
161135.895,397651.254
73856.748,435450.157
150045.532,375559.981
227693.267,526295.643
132288.17,453444.557
196490.89,546757.743
190492.2,554400.894
121938.8454,500667.1288
116399.515,400588.049
196849.1726,442680.2315
179312.745,522067.213
79362.959,400606.382
109643.245,524016.374
138615.0,455606.0
167629.339,379988.901
84542.87,457975.571
115579.344,481324.719
179246.142,320418.448
143011.547,452492.332
33244.337,392285.074
128894.228,428302.842
202184.0588,503493.9421
157751.875,465237.472
173070.6829,447489.953
116480.7565,480229.9765
85370.765,432272.807
98919.09,432150.435
140222.76,483621.995
167177.295,562380.873
73625.093,435997.881
134968.619,443662.362
130794.57,549067.889
133593.781,452763.339
142587.767,369973.811
115986.503,399697.351
36216.0,391291.0
205088.387,568878.808
109000.776,502817.013
199221.532,315608.34
157334.693,463751.41
154622.592,413357.912
183048.637,329796.754
112127.521,484252.671
125937.597,428751.84
97646.0,431181.0
119799.958,493783.457
131529.167,549563.807
158139.058,465025.779
160805.178,391168.572
184626.626,552525.667
84863.3792,436083.3979
79718.067,383794.246
256271.679,573079.319
119560.0,493916.0
80649.091,389269.84
254600.4959,593580.3536
85063.044,436134.303
87628.25,454834.576
86788.87,432080.653
88363.283,393379.953
66865.629,439247.311
198200.103,500109.762
124994.982,490918.888
194431.0,320599.0
155721.993,467725.027
151718.864,565262.289
33840.496,390477.379
80224.447,384355.612
250958.705,601573.956
126629.422,486791.939
89919.7637,431323.9834
139543.348,412307.404
133057.993,448838.24
144764.7139,471296.9788
233699.464,554257.635
158596.373,379600.968
157850.531,381227.082
74356.42,435453.265
266566.375,575717.842
180845.978,435111.914
202034.11,363482.637
87805.289,452098.755
171689.0,367780.0
104857.5878,397786.0253
127847.764,483336.899
86611.8088,460126.1141
191058.007,554665.188
105875.132,429580.761
151800.9643,489959.9493
157451.247,464506.567
133120.84,452551.601
132919.179,448714.849
91406.0,398297.0
158682.144,464608.621
155103.531,388537.962
87124.0,454253.0
120866.931,415222.22
121419.411,493128.674
130021.327,482683.725
192260.36,405166.162
133501.716,454152.35
41671.587,412741.056
197186.873,442264.301
32405.946,393751.72
167247.9222,463953.2531
138248.943,452232.459
89222.974,431662.502
158387.858,464780.388
121984.638,416391.549
121555.9446,483058.9071
137620.19,448980.733
59140.0,407278.0
127277.943,484180.888
256212.462,572617.226
162935.845,379598.532
138219.224,479197.268
209648.954,521744.646
115661.7857,483359.8295
178364.602,315723.34
85285.403,453236.912
123368.467,480585.248
96355.0,436501.0
238352.3,485558.129
127214.999,411820.751
139497.75,455908.036
244916.0,577759.0
63420.526,383711.042
36261.419,401363.661
129293.932,515338.687
224786.004,524311.232
114191.878,394452.077
33301.805,401173.481
191960.0,448487.0
236316.599,581573.83
190032.392,554774.7325
63026.911,384038.639
235310.709,581170.007
145451.024,473358.925
129825.526,440602.4562
157429.029,388748.443
85065.15,453359.973
121791.425,453761.433
177943.655,318801.15
157688.797,389616.597
178017.345,318730.655
182283.191,330800.421
125392.0,483682.0
227358.009,440528.667
184099.127,567609.509
79606.398,376981.282
156734.555,573596.964
106590.044,449434.866
60377.07,386867.93
115208.601,489528.632
142728.626,432167.661
87338.169,452288.802
176444.93,430480.221
124630.665,427334.005
239904.851,555086.504
86443.645,452630.08
102631.616,430303.204
150859.75,480257.757
123239.428,482540.104
139533.855,412264.771
182324.916,573193.23
125349.199,483908.412
116000.3,480917.954
33407.807,388875.012
169340.405,464543.284
111453.74,486415.556
154672.251,433742.339
107175.393,498784.51
145713.0,473569.0
99376.794,432772.545
206061.431,501139.039
139286.373,454312.856
85973.5918,452989.995
113449.82,482071.222
123884.141,482897.136
177555.293,318961.259
158180.652,576171.46
105060.176,498518.55
120285.947,544494.577
159773.155,577446.608
208356.547,499977.167
233085.072,507778.998
125374.058,477001.118
109485.729,397774.136
113570.6595,489809.507
139580.137,456210.119
191011.306,553969.846
177373.265,429977.781
162079.9071,388550.0359
105072.413,498518.652
238448.25,487149.89
249896.374,478746.592
78601.399,431551.556
180546.7484,552831.5037
127140.0,412048.0
145520.562,473884.951
117814.088,396472.38
114575.9725,482479.3441
139109.287,455836.179
45386.949,368382.315
158119.7346,576169.2898
177867.497,429795.124
46319.0,368227.0
115005.265,482809.213
115675.268,547315.004
95171.704,469891.312
96338.284,437199.135
96569.289,436203.923
183856.979,552414.211
109736.763,388756.718
170700.399,449667.848
102028.6102,427993.1103
180452.667,553292.438
36315.95,401381.88
84401.862,457855.73
102726.046,425777.795
184343.302,566715.85
157092.676,463061.894
189402.228,412076.266
127315.095,411924.772
236893.609,582645.207
150197.813,409071.696
140261.275,412100.522
98758.247,432175.851
148531.062,408204.65
170782.897,450024.886
130394.0,539545.0
190494.294,325526.913
116131.105,400136.564
115436.101,547410.809
108993.378,400066.061
102839.0,430264.0
248649.253,473559.345
195046.408,320850.273
183306.987,570111.694
102164.887,430035.099
109817.372,396914.508
53593.0,408359.0
127558.243,411947.779
136099.845,445223.538
120573.932,414119.955
182576.715,330866.661
140386.044,456087.139
180357.102,436139.571
157178.642,463505.44
176839.503,430263.484
191934.0,447812.0
102445.932,426756.517
135834.35,443967.251
115465.362,547399.586
141402.26,434573.33
167731.1643,371939.2319
121802.4667,453669.2329
36283.5,401367.42
102776.002,429899.518
126095.187,475478.366
148985.077,408522.189
36282.289,401412.346
130337.6769,440712.2969
113704.917,394133.55
102834.0,430248.0
177787.619,318346.929
139375.987,456236.209
112808.711,482668.282
255256.896,566935.153
248146.267,475727.21
114153.257,482393.23
237523.617,581397.094
193737.109,549140.209
198197.744,469029.352
140356.88,456139.565
195142.765,320595.356
187087.697,415903.037
114193.573,482191.979
236988.645,581915.837
143109.34,473524.087
141112.143,477368.73
124591.4086,479086.5023
132871.24,450920.297
137163.396,396509.696
198332.989,500313.527
91616.111,439441.772
138376.307,451998.777
109632.499,477314.133
138745.69,458034.398
139072.302,456985.24
86637.854,432598.29
194576.079,502216.14
237620.02,484136.954
108909.896,401738.597
187515.514,552981.887
153889.411,566954.756
206205.304,377085.781
125484.1833,479478.9214
125289.2476,479327.2049
158081.526,379834.81
132900.809,448226.438
139284.556,452327.006
89400.341,438278.298
165160.0,475410.0
60087.554,425081.889
84163.787,432371.061
128252.4238,481030.238
167665.227,464457.717
198311.837,500079.226
162864.358,563769.318
181078.249,523463.711
73300.017,434695.801
151830.773,413860.444
276466.614,578251.811
96819.984,440784.073
109956.359,478008.873
72911.14,433798.745
73992.667,435384.377
169332.796,464685.688
163234.936,378796.803
181232.61,522804.215
255898.153,577081.093
210280.2996,516949.6635
91737.225,398458.277
178583.026,431661.78
205915.0,381250.0
127212.939,546801.436
93586.0,402330.0
106944.188,498401.002
151021.738,414765.349
105236.0,496938.0
206444.4961,375745.1898
185330.529,329317.59
108830.335,401718.721
67653.135,430587.846
109092.862,477716.684
255755.925,576883.478
103048.422,430066.882
126216.729,485235.929
206617.92,378530.216
237359.395,484577.114
137758.411,397345.454
197775.3,491807.805
155005.484,433937.284
121270.7623,483173.2391
154996.781,568717.43
67691.103,430590.492
108991.632,401270.037
206501.219,378556.945
242737.506,461231.734
48399.391,369525.823
94634.0,403800.0
109306.585,477605.4
95160.08,462073.623
109968.702,477979.247
221089.392,577936.627
131001.544,411648.908
135670.026,411714.143
120701.0,492996.0
105999.913,473633.962
89004.761,431840.496
88188.394,440585.193
181866.1686,467938.6952
124628.5087,491315.3252
130307.88,539009.938
105202.977,498746.658
206535.617,378459.443
206236.653,376735.349
139073.871,412170.428
104343.023,471700.996
105463.874,448787.316
105955.0,429308.0
139699.266,412252.648
181102.365,442610.005
145390.0,473935.0
191925.102,552899.796
111213.229,486165.775
207026.349,378614.756
157789.822,379451.369
86107.9255,453805.6479
130667.275,525918.044
85535.059,434229.39
232844.941,552756.808
206469.724,379411.445
152480.682,410552.251
191402.412,553604.502
205032.214,569012.166
91312.48,451621.627
191325.028,447751.714
191968.0,447547.0
248908.237,473016.776
154125.251,413104.854
227288.959,524872.204
192915.944,555543.102
83565.061,450886.946
215104.584,490492.918
181472.931,436493.894
185227.0,448779.0
32920.903,400893.655
207298.077,378632.365
60904.291,425787.86
201568.18,502789.013
143259.996,452402.066
126218.3086,479863.8909
126722.127,486687.888
138704.041,439097.499
189229.545,491461.804
205687.998,378490.673
88382.837,409023.17
206524.586,379103.801
110250.661,427365.49
106092.0,429501.0
148733.084,414252.844
182497.409,574814.123
60066.457,425077.304
88990.3355,431732.406
128722.497,482867.133
61570.621,426531.539
187344.327,434212.313
111167.515,485441.355
118697.643,498475.713
227588.024,525447.533
205118.261,568971.632
195474.695,352901.034
199784.276,357234.231
206592.353,378644.278
99471.0,433367.0
87660.187,407854.164
85437.0,438099.0
107103.519,449625.415
206536.771,378090.691
99486.0,471395.0
227157.088,524574.829
130523.0,453844.0
117613.756,426301.388
179199.536,320396.99
136085.0,394702.0
107057.482,498861.726
261114.649,578864.142
128886.354,482848.0697
162193.372,379538.412
192360.188,447521.845
108785.0,488658.0
157703.011,383443.163
91277.0,439324.0
111357.547,480190.008
140777.242,393999.775
146200.958,485090.563
190089.846,554057.211
101195.828,429098.585
198176.562,467749.876
142932.821,431880.952
51337.065,423699.818
120403.6899,406759.223
88725.0,394198.0
95003.39,430468.659
165510.327,373974.746
106846.531,428862.233
